size,download_url,version,os,arch
84.94 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.4/linux/splunkforwarder-9.4.4-f627d88b766b-linux-amd64.tgz,9.4.4,linux,x86_64
75.03 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.4/linux/splunkforwarder-9.4.4-f627d88b766b-linux-arm64.tgz,9.4.4,linux,arm64
75.01 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.3/linux/splunkforwarder-9.4.3-237ebbd22314-linux-arm64.tgz,9.4.3,linux,arm64
84.92 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.3/linux/splunkforwarder-9.4.3-237ebbd22314-linux-amd64.tgz,9.4.3,linux,x86_64
75.26 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.2/linux/splunkforwarder-9.4.2-e9664af3d956-linux-arm64.tgz,9.4.2,linux,arm64
85.18 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.2/linux/splunkforwarder-9.4.2-e9664af3d956-linux-amd64.tgz,9.4.2,linux,x86_64
58.82 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.1/linux/splunkforwarder-9.4.1-e3bdab203ac8-linux-arm64.tgz,9.4.1,linux,arm64
130.25 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.1/linux/splunkforwarder-9.4.1-e3bdab203ac8-linux-amd64.tgz,9.4.1,linux,x86_64
129.55 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.0/linux/splunkforwarder-9.4.0-6b4ebe426ca6-linux-amd64.tgz,9.4.0,linux,x86_64
58.36 MB,https://download.splunk.com/products/universalforwarder/releases/9.4.0/linux/splunkforwarder-9.4.0-6b4ebe426ca6-linux-arm64.tgz,9.4.0,linux,arm64
47.29 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.6/linux/splunkforwarder-9.3.6-8c495c6a1f7d-Linux-x86_64.tgz,9.3.6,linux,x86_64
47.28 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.5/linux/splunkforwarder-9.3.5-9848f25c9430-Linux-x86_64.tgz,9.3.5,linux,x86_64
47.21 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.4/linux/splunkforwarder-9.3.4-30e72d3fb5f7-Linux-x86_64.tgz,9.3.4,linux,x86_64
47.22 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.3/linux/splunkforwarder-9.3.3-75595d8f83ef-Linux-x86_64.tgz,9.3.3,linux,x86_64
47.19 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.2/linux/splunkforwarder-9.3.2-d8bb32809498-Linux-x86_64.tgz,9.3.2,linux,x86_64
47.18 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.1/linux/splunkforwarder-9.3.1-0b8d769cb912-Linux-x86_64.tgz,9.3.1,linux,x86_64
54.08 MB,https://download.splunk.com/products/universalforwarder/releases/9.3.0/linux/splunkforwarder-9.3.0-51ccf43db5bd-Linux-x86_64.tgz,9.3.0,linux,x86_64
44.86 MB,https://download.splunk.com/products/universalforwarder/releases/9.2.8/linux/splunkforwarder-9.2.8-811db24f0af2-Linux-x86_64.tgz,9.2.8,linux,x86_64
44.84 MB,https://download.splunk.com/products/universalforwarder/releases/9.2.7/linux/splunkforwarder-9.2.7-b6481e66baf5-Linux-x86_64.tgz,9.2.7,linux,x86_64
44.78 MB,https://download.splunk.com/products/universalforwarder/releases/9.2.6/linux/splunkforwarder-9.2.6-bfd122d7f8fc-Linux-x86_64.tgz,9.2.6,linux,x86_64
44.75 MB,https://download.splunk.com/products/universalforwarder/releases/9.2.5/linux/splunkforwarder-9.2.5-7bfc9a4ed6ba-Linux-x86_64.tgz,9.2.5,linux,x86_64
